star_id,stellar_magnitude,sp_type5,sp_type_value5,m_star,r_star,teff,lum,dilution,noise1,n_planets,planet_id,radius,rprs,period_days,t_dur,T0,cosi,a,e,w,impact,transiting,n1,tcen1,N1,SNR1,detectable1,RA,Dec,lon,lat,max_sectors,priority,prior,sec1,sec2,sec3,sec4,sec5,sec6,sec7,sec8,sec9,sec10,sec11,sec12,sec13,sec14,sec15,sec16,sec17,sec18,sec19,sec20,sec21,sec22,sec23,sec24,sec25,sec26,sini,t_in,t_in/t_dur,obs_time
24778,9.1403198,G,3,1.034,953412063.1,5770.0,1.8765297,0.013624259,0.00019677047394293403,3,1,25146337.0,0.024679881654954786,36.05973547919949,484.40600133160325,1341.9743506113214,0.01,32369033337.480556,0.35671522205727263,1.7907078125461822,0.21838179973354985,1,1,1630.4522344449165,16,12.215442658537107,1,246.124787370318,-30.481904171225292,249.335009021209,-8.73944617257193,1.0,0,4478.052390658644,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999499987499375,12.318230196779162,0.025429557360802883,
55009,12.2226,F,2,1.64,1508742022.6,7262.0,11.79077,0.29803589,0.0009636854890548016,2,1,102776972.00000001,0.0637426061026736,69.0220533241647,572.0819179946503,1356.164350611321,0.02,58194381735.83981,0.009206195355221016,2.796017461694916,0.7640334306135355,1,1,1632.25256390798,19,14.158407616216412,1,246.86018141470402,-66.0856063986979,257.27827386533,-43.6652226948406,2.0,0,649.5719516005429,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999799979995999,81.63931874327989,0.14270564437599184,
85892,8.991100300000003,G,3,1.09,723970269.2,5947.0,1.2210233999999998,0.50454074,0.0007185719416384429,1,0,25394806.0,0.03282261296325778,22.035818177103586,255.18295590098813,1346.1843506113212,0.02,23722992893.409233,0.08373785215395194,1.7278759594743864,0.5971963775583182,1,1,1632.6499869136692,126,11.185550650240538,1,240.11174373162896,-62.3256434178119,252.22017628434202,-40.7189543809011,1.0,1,7177.353598492116,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999799979995999,12.625820894474037,0.04947752427232208,
99881,11.6275,A,1,2.29,1625323408.8,9068.0,33.26696,0.44238248,0.0006752435026949289,1,0,84160910.0,0.048452882231253394,23.818060443161446,303.67542393247555,1341.414350611321,0.04,32000538165.2886,0.13608238207296156,-1.0053096491487337,0.8677042637779026,1,1,1651.0491363724186,11,7.9945628760412,1,241.225632115903,-51.5389970621044,249.75255266630901,-30.1030735514298,1.0,0,586.273097764675,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9991996797437437,54.94463012540443,0.18093209326554452,18.816282092733164
117458,12.495,F,2,1.17,976774244.0000001,6149.0,2.5403423,1.8821114,0.0011425422653719894,1,0,85709063.0,0.08210725475037636,59.7161424119709,540.5383520882625,1339.574350611321,0.01,47213294908.03164,0.11619242264832955,1.9477874452256718,0.4275821351937416,1,1,1638.1550626711753,17,8.441205754874899,1,238.227555763475,-47.247574123976705,246.48779233673199,-26.368444838455485,1.0,0,743.7149163334645,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999499987499375,51.49460354144723,0.09526540224668253,21.92789061126504
131810,11.2842,F,2,1.21,937025847.5,6237.0,2.474535700000001,0.5473389,0.000555473818737643,1,0,97966867.0,0.09783103146621423,21.626135063049194,290.1186522095476,1342.3043506113208,0.03,24258033419.94329,0.11272243815511457,2.7331856086231205,0.7292178848317419,1,1,1645.0702414940085,9,33.40607730456486,1,241.22723498018001,-49.7187681708457,249.29610525396296,-28.326968607813,1.0,0,1628.0926487802888,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9995498987044118,55.46476174380262,0.19117957884259504,19.794236210364538
230087,12.7621,F,2,1.14,754774407.1,6083.0,1.4527545,0.08452329800000001,0.001356564065156985,1,0,81657107.0,0.10123386257037807,59.47060162470363,380.8492981059273,1384.3943506113212,0.01,46677870097.25565,0.027055553641225884,2.4504422698000385,0.6036083683325074,1,1,1681.7473587348395,12,24.13031790900336,1,241.60373194375896,-85.3744594808264,265.250245872306,-62.408899205774794,2.0,0,1304.1243577169173,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999499987499375,56.242223679815005,0.14767579711850254,
250043,8.486399699999998,F,2,1.5,2560951350.751,6904.0,27.751892,0.029345814,0.00015439127460826875,2,0,78382413.0,0.028639556247577507,39.311788023529274,1159.7042976765963,1337.9943506113214,0.02,38813857808.45776,0.21061955777323865,-0.21991148575128536,0.3016765538347333,1,1,1652.4886547995554,39,32.231522261244734,1,233.52466810814602,-43.7257098485902,242.00375581157496,-23.767262312578396,1.0,0,1296.4188004716082,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999799979995999,35.79352233510442,0.030864352582649534,2.0159848806870615
311570,12.9315,G,3,1.0,963886443.7000002,5621.0,1.7273935,0.11175252,0.0015165204175689305,3,1,137664568.0,0.1336427143753949,15.105795193444484,293.62518666600204,1340.2143506113212,0.04,17921330706.99481,0.049303651519721416,2.7017696820872223,0.7219883352756523,1,1,1642.3302544802107,10,33.499181158680855,1,237.741973362342,-28.981781936752,241.81892287940602,-8.64381151581638,1.0,0,571.5878591307783,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9991996797437437,73.68472808825224,0.250948254558518,
323786,11.8821,G,3,1.01,648337020.3398,5690.0,0.82061279,1.9150176,0.0007841233333028526,2,1,132828979.0,0.19170833600974171,54.58114857163582,337.9711777899989,1365.9743506113214,0.01,42339276342.040855,0.00756902817094058,-2.73318560862312,0.6507745084046207,1,1,1638.8800934695005,10,50.845958254554844,1,234.658202460974,-45.44992563608989,243.346976292536,-25.2268919639073,1.0,0,2003.9388145688786,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999499987499375,99.41189715060916,0.2941431213178171,0.0
324592,12.7579,F,2,1.14,1190539242.5,6092.0,3.6359081,0.21303417,0.0013528552763460275,1,0,119507218.0,0.09392893655198314,13.78089260342869,241.03244036418968,1338.564350611321,0.06,17610068360.55805,0.003594378273784772,-0.5969026041820605,0.8835815014061416,1,1,1627.9630952833213,8,15.20615558353426,1,237.63165855169296,-67.8620625238519,253.014547624902,-46.3224515874312,1.0,0,466.77023398146025,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9981983770774224,95.08861769578498,0.3945054763255525,
338643,12.1623,G,3,1.03,987081702.1999999,5762.0,2.0002737,0.20951577,0.000928639236748598,2,1,49891301.0,0.04729559697781678,94.89243005513616,545.1391534775328,1350.5243506113209,0.01,61618054188.47125,0.07863450587272287,-1.2252211349000193,0.6656543493603899,1,1,1635.2016407767294,16,7.96604673354673,1,232.93090273050998,-31.7674858025912,238.363059346759,-12.3092232052212,1.0,0,900.7274210768837,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999499987499375,44.23567018286757,0.08114564859390658,38.47247262478772
345912,12.5801,G,3,1.09,1351327244.3,5945.0,4.2483025,0.089100212,0.0012061539168205892,1,0,72998918.0,0.05054810444608328,60.96010494675306,577.9992613337627,1364.854350611321,0.02,46749879513.35056,0.1943888150350768,-0.5654866776461629,0.7384063952814113,1,1,1669.6548753450863,19,8.47844046223512,1,227.49597960458496,-77.6387441638805,254.82713907345496,-56.4531524025422,2.0,0,612.2679595060453,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999799979995999,60.772846496158685,0.10514346740845698,
350665,12.7985,G,3,0.94,1383466761.3999999,5406.0,3.04461,0.1631925,0.0013892077832670026,1,0,122170295.99999999,0.08263154644002647,28.50078099356109,468.4767297974062,1351.7043506113212,0.04,26805360423.41896,0.0204716449643536,-2.5132741228718345,0.7791009553170085,1,1,1636.712160546933,16,16.901799728542926,1,230.710876330313,-40.724197239215,238.96759500169887,-21.423897202644998,1.0,0,362.8689130268669,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9991996797437437,90.26717184419297,0.19268229583832094,
365025,10.3987,F,2,1.64,1915205021.7,7271.0,19.093935,0.055396002,0.00034755617704186164,1,0,127630243.00000001,0.062357300828141574,29.82537186764565,778.1484285166237,1351.404350611321,0.02,33261848933.71435,0.1664615667037013,2.7331856086231205,0.31474624136771995,1,1,1649.6580692877767,25,53.003453149448426,1,227.445263720228,-37.17798598086721,235.32309821815102,-18.721273173470696,1.0,0,890.4758516550434,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999799979995999,51.81422791124389,0.06658656113977741,32.676215985651694
401127,7.386700200000001,F,2,1.23,1508985451.1000001,6291.1499,6.643190400000001,0.005516971,0.00011285729044019224,1,0,25350208.999999996,0.015719744233163694,24.47616441349404,611.2168168078592,1334.314350611321,0.02,26489380659.19728,0.07868545541081277,2.796017461694916,0.33767650138548605,1,1,1603.5521591597546,18,9.238642876368347,1,217.92232680980203,-43.0882285620838,229.87511045421496,-26.62928755408,1.0,0,3921.1446875785664,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999799979995999,10.691145842793853,0.01749157671843754,
405785,15.1398,K,4,0.62234402,447662938.88019997,3984.0,0.094030239,0.93268496,0.00832960822098457,2,1,129579769.00000001,0.2708538691195769,45.19740453412529,264.5579716726789,1358.394350611321,0.01,31770718040.72208,0.03812849040283196,1.6336281798666925,0.6783124136562682,1,1,1629.578777816073,9,13.671170520052032,1,226.58876523926202,-59.1001370573254,242.69390235356002,-39.70742048415,1.0,0,328.7901349646732,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999499987499375,117.82847202474217,0.4453786490717581,0.0
428426,12.6699,G,3,1.09,1420307926.1000001,5943.0,4.686801,0.25026891,0.0012777970939788393,3,2,112887749.00000001,0.07437265517388529,23.32674226783184,403.41067255740546,1328.4643506113212,0.05,24640683621.88977,0.08846127235898496,2.4190263432641412,0.8078721336740209,1,1,1631.712000093135,12,11.993663724527071,1,232.25843196314,-43.2938625597151,240.91247197812402,-23.591157080749397,1.0,0,379.2576971526418,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998749217771909,79.16833573038188,0.1962474994240917,
486325,9.6334,F,2,1.46,1399345254.7000003,6794.6001,7.7731071,0.0034467953000000004,0.00024225059395042184,2,1,63773710.0,0.04264477104529391,23.50010089734735,353.11507129471875,1346.9443506113212,0.05,27296395106.847736,0.21760919675589852,2.3561944901923453,0.8000726558817499,1,1,1605.4454604821408,12,25.91570312935311,1,217.019056256997,-22.597349529447797,221.96196581803198,-7.552664046706357,1.0,0,2045.5867226821995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998749217771909,39.50245662531954,0.11186850926662881,37.4992606146848
491261,11.035,K,4,0.72000003,523774677.7551,4544.0,0.21783648,0.43139011,0.00048429635721083253,3,0,24031412.0,0.04293226236536085,45.26502407964411,267.3776544838895,1331.8043506113208,0.01,33385703694.903183,0.036485614193047584,0.9738937226128359,0.613947450447531,1,1,1648.6595191688293,9,7.9766326094628335,1,218.518040466239,-65.7102899789443,241.69465529334096,-47.2535180835567,1.0,0,4468.297861133148,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999499987499375,17.722338982915396,0.06628204969904555,
496154,12.425,K,4,0.91000003,1037346209.9,5280.0,1.5576507,1.7982888,0.0010931327917276805,4,1,102095274.99999999,0.092093908009536,47.04503781707138,467.45781237066495,1370.334350611321,0.02,37036579959.33507,0.006154276083185415,0.3769911184307755,0.7078532622548481,1,1,1652.6045775137484,16,11.090633145482904,1,218.303228461873,-60.432426323927295,238.28406057067403,-42.5584230315424,1.0,0,710.2505137867928,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999799979995999,79.4822470582052,0.1700308454684264,
532211,12.9983,G,3,0.98000002,835815232.3,5544.0,1.2291381,0.11809162,0.0015855695388042575,2,0,128483957.00000001,0.14384262687958194,30.962752658355196,426.19734520726524,1329.894350611321,0.01,28723868496.973045,0.10801118240032398,1.6336281798666925,0.3046358040318429,1,1,1670.4846298532275,14,43.66933141374937,1,233.15652197115398,-74.19548948499498,254.343785987675,-52.7591450726925,2.0,0,957.490221428449,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999499987499375,62.469248149101844,0.14657352715025065,
555376,12.3334,K,4,0.87,577536202.7800001,5158.52,0.43989319,0.01942936,0.0010321877844040668,1,0,67067517.00000001,0.10866307702206532,24.92853323847675,192.83332750279146,1340.5043506113213,0.02,23891610584.019268,0.06251847380280677,0.5654866776461626,0.7923018411964079,1,1,1614.718216234566,6,27.48677392935267,1,209.161515801153,-36.07939420149549,220.160026646216,-22.5605666820404,1.0,0,1810.6834458666171,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999799979995999,50.72218502190782,0.2630364039181638,39.158166877911356
